parastatal,year,capital expenditure,recurrent expenditure,allocation
FEDERAL MINISTRY OF AVIATION,2015,,,2138030765
MINISTRY OF INTERIOR,2015,,,156220022460
OFFICE OF THE HEAD OF THE CIVIL SERVICE OF THE FEDERATION,2015,,,7251311011
AUDITOR GENERAL FOR THE FEDERATION,2015,,,3228011657
MINISTRY OF COMMUNICATION TECHNOLOGY,2015,,,11592048380
OFFICE OF THE NATIONAL SECURITY ADVISER,2015,,,88726771998
INFRASTRUCTURE CONCESSIONARY REGULATORY COMMISSION,2015,,,
OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION,2015,,,54606630509
FEDERAL MINISTRY OF AGRICULTURE & RURAL DEVELOPMENT,2015,,,40659020717
FEDERAL MINISTRY OF FINANCE,2015,,,
"FEDERAL MINISTRY OF INDUSTRY, TRADE AND INVESTMENT",2015,,,12757859480
FEDERAL MINISTRY OF LABOUR AND EMPLOYMENT,2015,,,8764775214
FEDERAL MINISTRY OF SCIENCE AND TECHNOLOGY,2015,,,29850103064
FEDERAL MINISTRY OF TRANSPORTATION,2015,,,11981364493
FEDERAL MINISTRY OF  WORKS,2015,,,44985916543
"FEDERAL MINISTRY OF LANDS, HOUSING & URBAN DEVELOPMENT",2015,,,7312088618
FEDERAL MINISTRY OF  POWER,2015,,,9606813831
MINISTRY OF PETROLEUM RESOURCES,2015,,,59051178743
MINISTRY OF MINES AND STEEL DEVELOPMENT,2015,,,10436482841
MINISTRY OF BUDGET AND NATIONAL PLANNING,2015,,,7720386693
"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION",2015,,,825109533
FISCAL RESPONSIBILITY COMMISSION,2015,,,336875560
FEDERAL MINISTRY OF WATER RESOURCES,2015,,,23446953562
FEDERAL MINISTRY OF JUSTICE,2015,,,21460638350
INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,2015,,,4910936843
FEDERAL CAPITAL TERRITORY ADMINISTRATION,2015,,,13500000000
MINISTRY OF NIGER DELTA AFFAIRS,2015,,,56214200737
NATIONAL SPORTS COMMISSION,2015,,,6663253493
FEDERAL MINISTRY OF YOUTH  DEVELOPMENT,2015,,,70884427479
FEDERAL MINISTRY OF WOMEN AFFAIRS,2015,,,3093073863
FEDERAL MINISTRY OF EDUCATION,2015,,,483183784654
FEDERAL MINISTRY OF HEALTH,2015,,,259751742847
FEDERAL MINISTRY OF ENVIRONMENT,2015,,,17499334341
NATIONAL POPULATION COMMISSION,2015,,,9793800054
FEDERAL CHARACTER COMMISSION,2015,,,2214345636
FEDERAL MINISTRY OF SPECIAL DUTIES & INTER - GOVERNMENTAL AFFAIRS,2015,,,1374929736
FEDERAL MINISTRY OF POLICE AFFAIRS,2015,,,4956267942
,,,,
PRESIDENCY,2014,,,
MINISTRY OF DEFENCE,2014,,,340332339871
MINISTRY OF FOREIGN AFFAIRS,2014,,,63273821549
FEDERAL MINISTRY OF INFORMATION,2014,,,26267557890
